,atr
748480,0.0
748481,0.0
748482,0.0
748483,0.0
748484,30.1
748485,28.880000000000003
748486,23.904000000000003
748487,19.323200000000003
748488,15.558560000000003
748489,12.546848000000002
748490,10.137478400000003
748491,8.209982720000003
748492,6.667986176000002
748493,5.534388940800001
748494,4.627511152640001
748495,6.502008922112
748496,5.2016071376896
748497,4.16128571015168
748498,3.429028568121344
748499,5.343222854497076
748500,4.274578283597661
748501,3.519662626878129
748502,3.2157301015025026
748503,4.772584081202003
748504,7.218067264961602
748505,7.174453811969281
748506,6.939563049575424
748507,5.651650439660339
748508,4.621320351728271
748509,18.897056281382618
748510,15.217645025106094
748511,16.474116020084875
748512,24.7792928160679
748513,26.32343425285432
748514,25.758747402283454
748515,21.906997921826765
748516,17.625598337461412
748517,15.800478669969129
748518,14.140382935975305
748519,12.012306348780244
748520,9.909845079024196
748521,8.127876063219357
748522,6.602300850575486
748523,5.381840680460389
748524,4.5054725443683115
748525,10.20437803549465
748526,8.26350242839572
748527,6.710801942716576
748528,5.468641554173261
748529,9.274913243338608
748530,7.619930594670886
748531,16.29594447573671
748532,21.93675558058937
748533,40.4494044644715
748534,42.159523571577196
748535,39.52761885726176
748536,46.622095085809406
748537,39.09767606864752
748538,35.17814085491802
748539,29.142512683934417
748540,27.41401014714753
748541,27.931208117718022
748542,26.444966494174416
748543,26.95597319533953
748544,21.964778556271625
748545,17.8718228450173
748546,17.29745827601384
748547,24.13796662081107
748548,32.61037329664886
748549,41.38829863731909
748550,49.31063890985527
748551,46.348511127884215
748552,53.47880890230738
748553,55.9830471218459
748554,48.78643769747672
748555,39.12915015798138
748556,32.2033201263851
748557,44.56265610110808
748558,55.95012488088646
748559,44.86009990470917
748560,36.08807992376734
748561,28.97046393901387
748562,29.276371151211094
748563,24.621096920968874
748564,21.5968775367751
748565,17.37750202942008
748566,14.002001623536064
748567,11.40160129882885
748568,9.32128103906308
748569,7.657024831250465
748570,12.325619865000371
748571,11.060495892000297
748572,19.048396713600237
748573,21.43871737088019
748574,19.15097389670415
748575,15.42077911736332
748576,12.436623293890657
748577,10.749298635112526
748578,10.09943890809002
748579,8.079551126472015
748580,6.463640901177612
748581,7.97091272094209
748582,6.5767301767536726
748583,5.361384141402938
748584,6.489107313122351
748585,5.391285850497881
748586,5.013028680398305
748587,4.110422944318644
748588,3.2883383554549157
748589,4.830670684363932
748590,4.564536547491146
748591,3.851629237992917
748592,3.1813033903943335
748593,4.045042712315467
748594,6.036034169852373
748595,4.928827335881898
748596,4.043061868705519
748597,3.334449494964415
748598,7.267559595971532
748599,10.414047676777226
748600,8.431238141421781
748601,6.844990513137425
748602,5.57599241050994
748603,4.560793928407952
748604,3.7486351427263616
748605,3.0989081141810892
748606,4.179126491344872
748607,3.4433011930758974
748608,2.854640954460718
748609,2.383712763568574
748610,2.0069702108548593
748611,1.7055761686838875
748612,1.46446093494711
748613,1.271568747957688
748614,3.9172549983661504
748615,6.4338039986929205
748616,5.847043198954337
748617,5.17763455916347
748618,4.2421076473307755
748619,3.9936861178646206
