,keltner,engulf
0,Signal.WAIT,0
1,Signal.WAIT,1
2,Signal.WAIT,2
3,Signal.WAIT,3
4,Signal.WAIT,4
5,Signal.WAIT,5
6,Signal.WAIT,6
7,Signal.WAIT,7
8,Signal.WAIT,8
9,Signal.WAIT,9
10,Signal.WAIT,10
11,Signal.WAIT,11
12,Signal.WAIT,12
13,Signal.WAIT,13
14,Signal.WAIT,14
15,Signal.WAIT,15
16,Signal.WAIT,16
17,Signal.WAIT,17
18,Signal.WAIT,18
19,Signal.WAIT,19
20,Signal.WAIT,20
21,Signal.WAIT,21
22,Signal.WAIT,22
23,Signal.WAIT,23
24,Signal.WAIT,24
25,Signal.WAIT,25
26,Signal.WAIT,26
27,Signal.WAIT,27
28,Signal.WAIT,28
29,Signal.WAIT,29
30,Signal.WAIT,30
31,Signal.WAIT,31
32,Signal.WAIT,32
33,Signal.WAIT,33
34,Signal.WAIT,34
35,Signal.WAIT,35
36,Signal.WAIT,36
37,Signal.WAIT,37
38,Signal.WAIT,38
39,Signal.WAIT,39
40,Signal.WAIT,40
41,Signal.WAIT,41
42,Signal.WAIT,42
43,Signal.WAIT,43
44,Signal.WAIT,44
45,Signal.WAIT,45
46,Signal.WAIT,46
47,Signal.WAIT,47
48,Signal.WAIT,48
49,Signal.WAIT,49
50,Signal.WAIT,50
51,Signal.WAIT,52
52,Signal.WAIT,53
53,Signal.WAIT,55
54,Signal.WAIT,56
55,Signal.WAIT,57
56,Signal.WAIT,58
57,Signal.WAIT,59
58,Signal.WAIT,60
59,Signal.WAIT,61
60,Signal.WAIT,62
61,Signal.WAIT,63
62,Signal.WAIT,64
63,Signal.WAIT,65
64,Signal.WAIT,66
65,Signal.WAIT,68
66,Signal.WAIT,69
67,Signal.WAIT,70
68,Signal.WAIT,71
69,Signal.WAIT,72
70,Signal.WAIT,73
71,Signal.WAIT,74
72,Signal.WAIT,75
73,Signal.WAIT,76
74,Signal.WAIT,77
75,Signal.WAIT,78
76,Signal.WAIT,79
77,Signal.WAIT,80
78,Signal.WAIT,81
79,Signal.WAIT,82
80,Signal.WAIT,83
81,Signal.WAIT,84
82,Signal.WAIT,85
83,Signal.WAIT,86
84,Signal.WAIT,87
85,Signal.WAIT,88
86,Signal.WAIT,89
87,Signal.WAIT,90
88,Signal.WAIT,91
89,Signal.WAIT,92
90,Signal.WAIT,93
91,Signal.WAIT,94
92,Signal.WAIT,95
93,Signal.WAIT,96
94,Signal.WAIT,97
95,Signal.WAIT,98
96,Signal.WAIT,99
97,Signal.WAIT,100
98,Signal.WAIT,101
99,Signal.WAIT,102
100,Signal.WAIT,103
101,Signal.WAIT,104
102,Signal.WAIT,105
103,Signal.WAIT,106
104,Signal.WAIT,107
105,Signal.WAIT,108
106,Signal.WAIT,109
107,Signal.WAIT,110
108,Signal.WAIT,111
109,Signal.WAIT,112
110,Signal.WAIT,113
111,Signal.WAIT,114
112,Signal.WAIT,115
113,Signal.WAIT,116
114,Signal.WAIT,117
115,Signal.WAIT,118
116,Signal.WAIT,119
117,Signal.WAIT,120
118,Signal.WAIT,121
119,Signal.WAIT,122
120,Signal.WAIT,123
121,Signal.WAIT,124
122,Signal.WAIT,125
123,Signal.WAIT,126
124,Signal.WAIT,127
125,Signal.WAIT,128
126,Signal.WAIT,129
127,Signal.WAIT,130
128,Signal.WAIT,131
129,Signal.WAIT,132
130,Signal.WAIT,133
131,Signal.WAIT,134
132,Signal.WAIT,135
133,Signal.WAIT,136
134,Signal.WAIT,137
135,Signal.WAIT,138
136,Signal.WAIT,139
137,Signal.WAIT,0
138,Signal.WAIT,1
139,Signal.WAIT,2
140,Signal.WAIT,3
141,Signal.WAIT,4
142,Signal.WAIT,5
143,Signal.WAIT,6
144,Signal.WAIT,7
145,Signal.WAIT,8
146,Signal.WAIT,9
147,Signal.WAIT,10
148,Signal.WAIT,11
149,Signal.WAIT,12
150,Signal.WAIT,13
151,Signal.WAIT,14
152,Signal.WAIT,15
153,Signal.WAIT,16
154,Signal.WAIT,17
155,Signal.WAIT,18
156,Signal.WAIT,19
157,Signal.WAIT,20
158,Signal.WAIT,21
159,Signal.WAIT,22
160,Signal.WAIT,23
161,Signal.WAIT,24
162,Signal.WAIT,25
163,Signal.WAIT,26
164,Signal.WAIT,27
165,Signal.WAIT,28
166,Signal.WAIT,29
167,Signal.WAIT,30
168,Signal.WAIT,31
169,Signal.WAIT,32
170,Signal.WAIT,33
171,Signal.WAIT,34
172,Signal.WAIT,35
173,Signal.WAIT,36
174,Signal.WAIT,37
175,Signal.WAIT,38
176,Signal.WAIT,39
177,Signal.WAIT,40
178,Signal.WAIT,41
179,Signal.WAIT,42
180,Signal.WAIT,43
181,Signal.WAIT,44
182,Signal.WAIT,45
183,Signal.WAIT,46
184,Signal.WAIT,47
185,Signal.WAIT,48
186,Signal.WAIT,49
187,Signal.WAIT,50
188,Signal.WAIT,52
189,Signal.WAIT,53
190,Signal.WAIT,55
191,Signal.WAIT,56
192,Signal.WAIT,57
193,Signal.WAIT,58
194,Signal.WAIT,59
195,Signal.WAIT,60
196,Signal.WAIT,61
197,Signal.WAIT,62
198,Signal.WAIT,63
199,Signal.WAIT,64
200,Signal.WAIT,65
201,Signal.WAIT,66
202,Signal.WAIT,68
203,Signal.WAIT,69
204,Signal.WAIT,70
205,Signal.WAIT,71
206,Signal.WAIT,72
207,Signal.WAIT,73
208,Signal.WAIT,74
209,Signal.WAIT,75
210,Signal.WAIT,76
211,Signal.WAIT,77
212,Signal.WAIT,78
213,Signal.WAIT,79
214,Signal.WAIT,80
215,Signal.WAIT,81
216,Signal.WAIT,82
217,Signal.WAIT,83
218,Signal.WAIT,84
219,Signal.WAIT,85
220,Signal.WAIT,86
221,Signal.WAIT,87
222,Signal.WAIT,88
223,Signal.WAIT,89
224,Signal.WAIT,90
225,Signal.WAIT,91
226,Signal.WAIT,92
227,Signal.WAIT,93
228,Signal.WAIT,94
