,keltner,engulf
165,Signal.WAIT,Signal.WAIT
166,Signal.WAIT,Signal.WAIT
167,Signal.SELL,Signal.WAIT
168,Signal.SELL,Signal.WAIT
169,Signal.SELL,Signal.SELL
170,Signal.SELL,Signal.WAIT
171,Signal.SELL,Signal.WAIT
172,Signal.WAIT,Signal.SELL
173,Signal.WAIT,Signal.WAIT
174,Signal.WAIT,Signal.WAIT
175,Signal.WAIT,Signal.WAIT
176,Signal.BUY,Signal.WAIT
177,Signal.BUY,Signal.WAIT
178,Signal.BUY,Signal.WAIT
179,Signal.BUY,Signal.WAIT
180,Signal.BUY,Signal.WAIT
181,Signal.BUY,Signal.WAIT
182,Signal.BUY,Signal.WAIT
183,Signal.BUY,Signal.BUY
184,Signal.WAIT,Signal.WAIT
185,Signal.WAIT,Signal.WAIT
186,Signal.WAIT,Signal.BUY
187,Signal.WAIT,Signal.SELL
188,Signal.WAIT,Signal.WAIT
189,Signal.WAIT,Signal.WAIT
190,Signal.WAIT,Signal.WAIT
191,Signal.BUY,Signal.SELL
192,Signal.BUY,Signal.WAIT
193,Signal.BUY,Signal.WAIT
194,Signal.BUY,Signal.SELL
195,Signal.BUY,Signal.WAIT
196,Signal.WAIT,Signal.BUY
197,Signal.BUY,Signal.WAIT
198,Signal.SELL,Signal.BUY
199,Signal.WAIT,Signal.WAIT
200,Signal.WAIT,Signal.WAIT
201,Signal.WAIT,Signal.WAIT
202,Signal.SELL,Signal.BUY
203,Signal.SELL,Signal.WAIT
204,Signal.SELL,Signal.WAIT
205,Signal.SELL,Signal.SELL
206,Signal.SELL,Signal.WAIT
207,Signal.WAIT,Signal.WAIT
208,Signal.WAIT,Signal.SELL
209,Signal.WAIT,Signal.WAIT
210,Signal.WAIT,Signal.WAIT
211,Signal.WAIT,Signal.SELL
212,Signal.WAIT,Signal.WAIT
213,Signal.WAIT,Signal.WAIT
214,Signal.BUY,Signal.SELL
215,Signal.BUY,Signal.WAIT
216,Signal.WAIT,Signal.BUY
217,Signal.BUY,Signal.WAIT
218,Signal.WAIT,Signal.WAIT
219,Signal.WAIT,Signal.WAIT
220,Signal.SELL,Signal.WAIT
221,Signal.SELL,Signal.SELL
222,Signal.SELL,Signal.WAIT
223,Signal.SELL,Signal.WAIT
224,Signal.SELL,Signal.SELL
225,Signal.SELL,Signal.WAIT
226,Signal.SELL,Signal.BUY
227,Signal.SELL,Signal.WAIT
228,Signal.SELL,Signal.WAIT
229,Signal.SELL,Signal.WAIT
230,Signal.SELL,Signal.BUY
231,Signal.SELL,Signal.WAIT
232,Signal.SELL,Signal.WAIT
233,Signal.SELL,Signal.WAIT
234,Signal.SELL,Signal.SELL
235,Signal.SELL,Signal.WAIT
236,Signal.SELL,Signal.WAIT
237,Signal.SELL,Signal.WAIT
238,Signal.SELL,Signal.WAIT
239,Signal.SELL,Signal.BUY
240,Signal.SELL,Signal.WAIT
241,Signal.SELL,Signal.WAIT
242,Signal.SELL,Signal.WAIT
243,Signal.SELL,Signal.WAIT
244,Signal.SELL,Signal.WAIT
245,Signal.SELL,Signal.BUY
246,Signal.SELL,Signal.WAIT
247,Signal.WAIT,Signal.SELL
248,Signal.SELL,Signal.WAIT
249,Signal.BUY,Signal.SELL
250,Signal.BUY,Signal.WAIT
251,Signal.BUY,Signal.WAIT
252,Signal.SELL,Signal.WAIT
253,Signal.WAIT,Signal.WAIT
254,Signal.WAIT,Signal.SELL
255,Signal.WAIT,Signal.WAIT
256,Signal.WAIT,Signal.WAIT
257,Signal.WAIT,Signal.SELL
258,Signal.WAIT,Signal.WAIT
259,Signal.WAIT,Signal.WAIT
260,Signal.WAIT,Signal.WAIT
261,Signal.WAIT,Signal.BUY
262,Signal.WAIT,Signal.WAIT
263,Signal.SELL,Signal.WAIT
264,Signal.SELL,Signal.WAIT
265,Signal.SELL,Signal.BUY
266,Signal.SELL,Signal.WAIT
267,Signal.SELL,Signal.WAIT
268,Signal.SELL,Signal.WAIT
269,Signal.SELL,Signal.BUY
270,Signal.SELL,Signal.WAIT
271,Signal.SELL,Signal.WAIT
272,Signal.SELL,Signal.SELL
273,Signal.WAIT,Signal.WAIT
274,Signal.WAIT,Signal.WAIT
275,Signal.WAIT,Signal.BUY
276,Signal.WAIT,Signal.WAIT
277,Signal.BUY,Signal.WAIT
278,Signal.WAIT,Signal.WAIT
279,Signal.WAIT,Signal.WAIT
280,Signal.WAIT,Signal.WAIT
281,Signal.WAIT,Signal.WAIT
282,Signal.WAIT,Signal.WAIT
283,Signal.BUY,Signal.SELL
284,Signal.WAIT,Signal.WAIT
285,Signal.WAIT,Signal.WAIT
286,Signal.WAIT,Signal.WAIT
287,Signal.BUY,Signal.SELL
288,Signal.BUY,Signal.WAIT
289,Signal.BUY,Signal.WAIT
290,Signal.BUY,Signal.WAIT
291,Signal.BUY,Signal.WAIT
292,Signal.BUY,Signal.WAIT
293,Signal.BUY,Signal.WAIT
294,Signal.BUY,Signal.BUY
295,Signal.BUY,Signal.WAIT
296,Signal.SELL,Signal.WAIT
297,Signal.SELL,Signal.WAIT
298,Signal.SELL,Signal.WAIT
299,Signal.SELL,Signal.WAIT
300,Signal.SELL,Signal.BUY
301,Signal.SELL,Signal.WAIT
302,Signal.SELL,Signal.WAIT
303,Signal.SELL,Signal.WAIT
304,Signal.SELL,Signal.WAIT
305,Signal.SELL,Signal.WAIT
306,Signal.SELL,Signal.WAIT
307,Signal.SELL,Signal.SELL
308,Signal.SELL,Signal.WAIT
309,Signal.SELL,Signal.WAIT
310,Signal.WAIT,Signal.WAIT
311,Signal.WAIT,Signal.WAIT
312,Signal.WAIT,Signal.WAIT
313,Signal.SELL,Signal.BUY
314,Signal.SELL,Signal.WAIT
315,Signal.SELL,Signal.WAIT
316,Signal.SELL,Signal.WAIT
317,Signal.SELL,Signal.BUY
318,Signal.SELL,Signal.WAIT
319,Signal.SELL,Signal.WAIT
320,Signal.WAIT,Signal.SELL
321,Signal.WAIT,Signal.WAIT
