,atr
747180,0.0
747181,0.0
747182,0.0
747183,0.0
747184,13.1
747185,12.08
747186,11.264
747187,9.1112
747188,8.08896
747189,7.271168
747190,7.816934399999999
747191,9.75354752
747192,7.902838016
747193,6.4222704128000005
747194,5.23781633024
747195,4.290253064192
747196,3.5322024513536
747197,4.32576196108288
747198,6.160609568866304
747199,7.728487655093043
747200,6.182790124074435
747201,5.246232099259548
747202,4.296985679407639
747203,3.537588543526111
747204,3.030070834820889
747205,5.224056667856711
747206,4.879245334285369
747207,4.503396267428295
747208,6.002717013942636
747209,6.702173611154109
747210,5.861738888923287
747211,5.1893911111386295
747212,5.651512888910903
747213,4.521210311128723
747214,3.7169682489029783
747215,4.273574599122382
747216,3.5188596792979054
747217,3.2150877434383247
747218,2.6720701947506598
747219,2.237656155800528
747220,1.8901249246404224
747221,1.5120999397123378
747222,1.3096799517698703
747223,5.847743961415896
747224,12.178195169132717
747225,22.142556135306172
747226,17.814044908244938
747227,14.351235926595951
747228,11.58098874127676
747229,9.364790993021408
747230,7.6918327944171265
747231,6.253466235533701
747232,5.1027729884269615
747233,4.082218390741569
747234,4.765774712593255
747235,3.912619770074604
747236,3.2300958160596833
747237,2.6840766528477467
747238,2.1472613222781973
747239,1.7178090578225578
747240,1.4742472462580463
747241,1.179397797006437
747242,1.0435182376051497
747243,4.534814590084119
747244,4.527851672067295
747245,3.722281337653836
747246,3.077825070123069
747247,10.862260056098455
747248,20.189808044878767
747249,16.251846435903012
747250,13.10147714872241
747251,10.581181718977927
747252,8.464945375182342
747253,6.771956300145874
747254,5.517565040116699
747255,4.614052032093359
747256,14.991241625674686
747257,12.09299330053975
747258,9.9743946404318
747259,8.07951571234544
747260,6.563612569876352
747261,5.350890055901082
747262,9.580712044720865
747263,7.7645696357766925
747264,6.311655708621354
747265,5.149324566897083
747266,4.119459653517667
747267,3.395567722814133
747268,2.7164541782513068
747269,2.1731633426010455
747270,1.7385306740808364
747271,1.490824539264669
747272,1.2926596314117353
747273,1.1341277051293883
747274,1.0073021641035107
747275,0.9058417312828085
747276,0.8246733850262469
747277,0.7597387080209975
747278,0.7077909664167981
747279,0.7662327731334384
747280,0.6129862185067507
747281,0.5903889748054005
747282,2.6723111798443204
747283,2.2378489438754565
747284,1.9902791551003651
747285,1.6922233240802922
747286,1.4537786592642337
747287,1.163022927411387
747288,1.0304183419291095
747289,0.9243346735432876
747290,1.03946773883463
747291,1.031574191067704
747292,0.9252593528541633
747293,0.8402074822833306
747294,0.6721659858266645
747295,0.5377327886613317
747296,0.6301862309290653
747297,0.6041489847432523
747298,0.5833191877946018
747299,0.5666553502356815
747300,0.5533242801885452
747301,0.5426594241508361
747302,0.5341275393206689
747303,0.5273020314565351
747304,0.521841625165228
747305,0.5174733001321824
747306,2.013978640105746
747307,16.311182912084597
747308,16.948946329667677
747309,17.35915706373414
747310,13.987325650987312
747311,11.28986052078985
747312,9.03188841663188
747313,7.4255107333055035
747314,6.040408586644403
747315,4.932326869315522
747316,4.845861495452418
747317,6.476689196361934
747318,5.281351357089547
747319,4.325081085671638
747320,3.56006486853731
747321,2.948051894829848
747322,2.4584415158638784
747323,2.066753212691103
747324,1.7534025701528821
747325,1.5027220561223058
747326,1.3021776448978446
747327,1.1417421159182757
747328,1.1133936927346206
747329,0.9907149541876965
747330,0.8925719633501572
747331,0.8140575706801257
747332,0.7512460565441006
747333,0.7009968452352805
747334,0.6607974761882244
747335,0.6286379809505795
747336,0.6029103847604637
747337,0.582328307808371
747338,0.5658626462466968
747339,0.5526901169973575
747340,0.542152093597886
747341,0.5337216748783088
747342,0.5269773399026471
747343,0.5215818719221177
747344,0.5172654975376941
747345,0.5138123980301553
747346,0.41104991842412425
747347,0.3288399347392994
747348,0.8630719477914395
747349,1.5904575582331515
747350,1.3723660465865213
747351,1.097892837269217
747352,1.9783142698153735
747353,1.982651415852299
747354,1.6861211326818393
747355,1.3488969061454714
747356,1.1791175249163772
747357,1.0432940199331018
747358,0.8346352159464814
747359,0.7677081727571851
747360,0.714166538205748
747361,0.5713332305645984
747362,0.5570665844516787
747363,0.5456532675613429
747364,0.5365226140490743
747365,0.5292180912392594
747366,0.5233744729914076
747367,0.5186995783931261
747368,0.5149596627145009
747369,0.7119677301716008
747370,0.5695741841372806
747371,0.5556593473098245
747372,0.5445274778478596
747373,0.5356219822782877
747374,0.6284975858226302
747375,0.6027980686581041
747376,0.4822384549264833
747377,0.5857907639411867
747378,0.46863261115294935
747379,0.4749060889223594
747380,1.6799248711378876
747381,1.34393989691031
747382,2.4751519175282484
747383,2.280121534022599
747384,2.124097227218079
747385,1.7992777817744632
747386,1.4394222254195705
747387,1.1515377803356563
747388,0.9212302242685251
747389,0.7369841794148201
747390,0.689587343531856
747391,0.6516698748254848
747392,0.6213358998603878
747393,0.5970687198883102
747394,0.5776549759106482
747395,0.5621239807285185
747396,0.5496991845828149
747397,0.4397593476662519
747398,0.45180747813300154
747399,0.4614459825064012
747400,0.469156786005121
747401,0.3753254288040968
747402,0.40026034304327746
747403,0.42020827443462194
747404,1.7361666195476975
747405,1.388933295638158
747406,1.1111466365105263
747407,0.988917309208421
747408,0.8911338473667367
747409,0.8129070778933893
747410,0.7503256623147114
747411,0.6002605298517691
747412,0.5802084238814154
747413,0.5641667391051323
747414,0.5513333912841059
747415,0.5410667130272847
747416,0.43285337042182775
747417,0.44628269633746226
747418,0.9570261570699697
747419,3.5656209256559754
747420,3.1524967405247803
747421,2.5219973924198245
747422,2.0175979139358597
747423,1.6140783311486877
747424,1.9912626649189502
747425,1.69301013193516
747426,1.354408105548128
747427,1.0835264844385024
747428,0.866821187550802
747429,0.6934569500406416
747430,7.954765560032513
747431,6.46381244802601
747432,6.071049958420808
747433,4.856839966736646
747434,8.085471973389318
747435,6.568377578711454
747436,5.254702062969163
747437,4.203761650375331
747438,3.3630093203002644
747439,2.7904074562402115
747440,2.3323259649921693
747441,1.9658607719937353
747442,1.6726886175949882
747443,1.4381508940759906
747444,1.2505207152607924
747445,1.1004165722086339
747446,0.980333257766907
747447,0.8842666062135256
747448,0.9074132849708205
747449,0.8259306279766564
747450,0.7607445023813251
747451,0.7085956019050601
747452,0.5668764815240481
747453,0.5535011852192385
747454,0.5428009481753908
747455,0.5342407585403126
747456,0.5273926068322501
747457,0.5219140854658001
747458,0.5175312683726401
747459,0.514025014698112
747460,0.5112200117584896
747461,0.5089760094067917
747462,0.5071808075254334
747463,0.5057446460203467
747464,0.5045957168162774
747465,0.5036765734530219
747466,0.5029412587624175
747467,0.502353007009934
747468,0.4018824056079472
747469,0.42150592448635776
747470,0.4372047395890862
747471,0.3497637916712689
747472,0.2798110333370151
747473,0.3238488266696121
747474,0.3590790613356897
747475,0.38726324906855175
747476,0.3098105992548414
747477,0.3478484794038731
747478,0.37827878352309846
747479,0.40262302681847884
747480,0.42209842145478305
747481,0.43767873716382644
747482,0.45014298973106115
747483,0.4601143917848489
747484,0.46809151342787914
747485,0.4744732107423033
747486,0.4795785685938426
747487,0.4836628548750741
747488,0.48693028390005927
747489,0.48954422712004747
747490,0.49163538169603793
747491,0.49330830535683035
747492,0.4946466442854643
747493,0.4957173154283714
747494,0.49657385234269713
747495,0.4972590818741577
747496,0.49780726549932613
747497,0.3982458123994609
747498,0.4185966499195687
747499,0.4348773199356549
747500,0.44790185594852394
747501,0.35832148475881914
747502,0.3866571878070553
747503,0.30932575024564424
747504,0.34746060019651537
747505,0.2779684801572123
747506,0.5223747841257699
747507,0.4178998273006159
747508,0.3343198618404927
747509,0.36745588947239416
747510,0.39396471157791535
747511,0.31517176926233226
747512,0.2521374154098658
747513,0.20170993232789264
747514,0.2613679458623141
747515,2.3090943566898514
747516,1.9472754853518812
747517,1.557820388281505
747518,1.346256310625204
747519,1.0770050485001632
747520,0.9616040388001306
747521,0.8692832310401044
747522,0.6954265848320835
747523,0.6563412678656668
747524,0.6250730142925335
747525,0.5000584114340267
747526,0.5000467291472214
747527,0.4000373833177771
747528,0.3200299066542217
747529,0.35602392532337734
747530,0.3848191402587019
747531,0.3078553122069615
747532,0.2462842497655692
747533,0.29702739981245535
747534,0.33762191984996426
747535,0.27009753587997143
747536,0.21607802870397713
747537,0.17286242296318172
747538,0.23828993837054538
747539,0.29063195069643627
747540,0.23250556055714902
747541,0.18600444844571923
747542,0.2488035587565754
747543,0.19904284700526031
747544,0.25923427760420825
747545,0.3073874220833666
747546,0.3459099376666933
747547,0.27672795013335466
747548,0.32138236010668375
747549,0.257105888085347
747550,6.705684710468278
747551,5.464547768374622
747552,4.471638214699698
747553,8.37731057175976
747554,18.201848457407806
747555,25.661478765926244
747556,20.529183012740994
747557,16.523346410192794
747558,13.318677128154235
747559,10.754941702523388
747560,8.70395336201871
747561,6.963162689614968
747562,5.670530151691975
747563,4.6364241213535795
747564,3.7091392970828636
747565,2.967311437666291
747566,2.4738491501330326
747567,1.979079320106426
747568,1.783263456085141
747569,1.4266107648681128
747570,1.2412886118944901
747571,1.093030889515592
747572,0.9744247116124736
747573,0.8795397692899789
747574,0.8036318154319831
747575,0.7429054523455865
747576,0.6943243618764692
747577,0.6554594895011754
747578,0.6243675916009404
